Geo_Point;Geo_Shape;nom;street;No
43.599839619, 1.41509868701;{"type": "Point", "coordinates": [1.415098687010605, 43.59983961897599]};GRANDE BRETAGNE BADIOU;AV DE GRANDE BRETAGNE;103B
43.6038189181, 1.42008058359;{"type": "Point", "coordinates": [1.420080583592901, 43.603818918064164]};WAGNER BRUNHES;BD RICHARD WAGNER;29
43.5622903583, 1.48095852119;{"type": "Point", "coordinates": [1.480958521186139, 43.56229035832073]};BELIN C.N.R.S.;AV EDOUARD BELIN;16
43.6383040631, 1.46502966621;{"type": "Point", "coordinates": [1.465029666208326, 43.63830406314297]};MAIRIE CROIX DAURADE;RTE D ALBI;159
43.5630766724, 1.4757812522;{"type": "Point", "coordinates": [1.475781252201485, 43.5630766723839]};CESR;AV DU COLONEL ROCHE;11
43.6268608283, 1.44399694174;{"type": "Point", "coordinates": [1.443996941735042, 43.62686082827993]};NEGRENEYS;RUE DE NEGRENEYS;161
43.6115437366, 1.41453821966;{"type": "Point", "coordinates": [1.414538219661377, 43.61154373661914]};BERNIES POSTE;RTE DE BLAGNAC;15
43.6474935582, 1.43264037251;{"type": "Point", "coordinates": [1.432640372514435, 43.647493558171995]};PLACE RICHÉ;PL PAUL RICHE;
43.6406279902, 1.44024551974;{"type": "Point", "coordinates": [1.440245519736814, 43.640627990248454]};VAN DYCK;RUE ANTOINE VAN DYCK;
43.6291513909, 1.47628037112;{"type": "Point", "coordinates": [1.476280371124373, 43.62915139085707]};CAMBARD;RUE CAMBARD;
43.5739197476, 1.48392256764;{"type": "Point", "coordinates": [1.483922567644204, 43.573919747613125]};GONIN;RUE CLAUDE GONIN;
43.5787362372, 1.4467475124;{"type": "Point", "coordinates": [1.4467475124029, 43.57873623716405]};NIEL;RUE SAINT ROCH;
43.5650049725, 1.41039892853;{"type": "Point", "coordinates": [1.410398928525144, 43.56500497247343]};LAFOURGUETTE;PL DES GLIERES;
43.6141999519, 1.39706730933;{"type": "Point", "coordinates": [1.397067309333223, 43.614199951884686]};ARÈNES ROMAINES;AV DES ARENES ROMAINES;
43.6193313135, 1.3969881689;{"type": "Point", "coordinates": [1.396988168903307, 43.61933131345436]};ANCELY;AV DES ARENES ROMAINES;110
43.624003958, 1.4278275147;{"type": "Point", "coordinates": [1.427827514701507, 43.62400395795526]};TRENTIN;BD SILVIO TRENTIN;
43.5995226263, 1.4454725045;{"type": "Point", "coordinates": [1.445472504499364, 43.599522626333346]};PLACE ROUAIX;RUE DES TOURNEURS;1
43.6016309305, 1.45608133922;{"type": "Point", "coordinates": [1.456081339224931, 43.60163093053496]};DAURIAC - ESCANDE;BD PR LEOPOLD ESCANDE;3
43.6149887505, 1.43291370931;{"type": "Point", "coordinates": [1.432913709307344, 43.61498875052995]};HOTEL DE POLICE;RUE DE CHAUSSAS;1
43.6056429267, 1.42802279231;{"type": "Point", "coordinates": [1.428022792308055, 43.6056429266892]};SEJOURNE - CATALANS;AV PAUL SEJOURNE;1
43.6063052572, 1.43840139063;{"type": "Point", "coordinates": [1.43840139062854, 43.60630525720918]};PLACE ANATOLE FRANCE;PL ANATOLE FRANCE;40
43.6076038636, 1.44130600071;{"type": "Point", "coordinates": [1.441306000706162, 43.60760386355083]};MUSEE ST RAYMOND;RUE DES TROIS RENARDS;8
43.6103968153, 1.44308450269;{"type": "Point", "coordinates": [1.443084502694961, 43.61039681533783]};MERLY -  ARCOLE;RUE MERLY;15
43.6086864892, 1.43944808948;{"type": "Point", "coordinates": [1.439448089478606, 43.60868648923386]};CHAINE;RUE DE LA CHAINE;10
